no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
106	Станкевич, Александр Владимирович		Фомушка	рассказ	"Литературный сборник с иллюстрациями, изданный редакцией ""Современника"""	Санкт-Петербург	1849	С. 255–264.		3л (суб-авт)	деревня	Великороссия		муж	Фома	Катя
107	Тургенев, Иван Сергеевич		Певцы	записки охотника	Современник		1850	No 11. Словесность. С. 97–113.	Записки охотника. М., 1852	1л	деревня	Великороссия		муж	Яшка	нет
108	Тургенев, Иван Сергеевич		Свидание	записки охотника	Современник		1850	No 11. Словесность. С. 114–122.	Записки охотника. М., 1852	1л	имение	Великороссия		жен	Виктор Александрыч	Акулина
109	Авдеев, Михаил Васильевич		Горы		Отечественные записки		1851	Т. 79. No 12. Отд. I. С. 163–212.		1л	деревня	Урал	Оренбургская губерния	жен	без имени	Изикэй
110	Григорович, Дмитрий Васильевич		Светлое Христово Воскресение	простонародное поверье	Современник		1851	No 1. Словесность. С. 117–136		3л	деревня	Великороссия		муж	Андрей	Дарья
111	Григорович, Дмитрий Васильевич		Прохожий	святочный рассказ	Москвитянин		1851	No 1. Отд. 1. С. 39–96.		3л	деревня	Великороссия		муж	Алешка	Василиса
112	Григорович, Дмитрий Васильевич		Мать и дочь	осенний рассказ	Современник		1851	No 11. Словесность. С. 73–89.		1л	деревня	Великороссия		жен	нет	Маша
113	Дементьев, Василий Арсентьевич		Левка бобыль	деревенские очерки	Москвитянин		1851	No 19–20. Смесь. С. 230–264.		3л	имение	Великороссия		муж	Левка	Наташа
114	Корсини, Мария Антоновна		Рассказ о сапожнике Терентье и его семье	народное чтение	Корсини М.А. Народное чтение.	Санкт-Петербург	1851	Кн. 2. С. 6–32.		3л	город	Великороссия	Петербург	муж	Терентий	нет
115	Лазаревский, Василий Матвеевич	анонимно	Мои старые знакомцы. Капельмейстер		Отечественные записки		1851	No 3. Отд. I. С. 111–125.		1л	имение	Великороссия		муж	Василий	нет
116	Лазаревский, Василий Матвеевич	анонимно	Мои старые знакомцы. Девичник		Отечественные записки		1851	No 3. Отд. I. С. 125–144.		1л	имение	Великороссия		жен	нет	Люба
117	Лазаревский, Василий Матвеевич	анонимно	Мои старые знакомцы. Передняя		Отечественные записки		1851	No 6. Отд. I. С. 249–278.		1л	имение	Великороссия		муж	Иван	Настя
118	Тургенев, Иван Сергеевич		Бежин луг	записки охотника	Современник		1851	No 2. Словесность. С. 319–338.	Записки охотника. М., 1852	1л	деревня	Великороссия	Тульская губерния	муж	Павлуша	нет
119	Тургенев, Иван Сергеевич		Касьян с Красивой Мечи	записки охотника	Современник		1851	No 3. Словесность. С. 121–140.	Записки охотника. М., 1852	1л	деревня	Великороссия		муж	Касьян	нет
120	Григорович, Дмитрий Васильевич		Смедовская долина	рассказ	Современник		1852	Т. 31. No 1. Словесность. С. 89–106.		3л	деревня	Великороссия	Кашира, Тульская губерния	муж	Михайла	Параша
121	Кокорев, Иван Тимофеевич		Саввушка		Москвитянин		1852	No 15. Отд. I. С. 49–92.		3л	город	Великороссия	Москва	муж	Саввушка	Саша
122	Писемский, Алексей Феофилактович		Питерщик	рассказ	Москвитянин		1852	No 23. Декабрь. Русская словесность. С. 93–128.	Очерки из крестьянского быта. СПб., 1856	1л	деревня; город	Великороссия	Костромская губерния; Петербург	муж	Клементий	без имени
123	Савинов, В.Н.		Сцены из русского народного быта		отд. изд.	Санкт-Петербург	1852			3л	город	Великороссия	Петербург	муж и жен	без имени	без имени
124	Тургенев, Иван Сергеевич		Два помещика	записки охотника	Тургенев. Записки охотника.	Москва	1852	С. 21–40.		1л	имение	Великороссия		муж	Васька	нет
125	Авдеев, Михаил Васильевич		Огненный змий	рассказ	Отечественные записки		1853	Т. 86. No 2. Отд. I. С. 145–186.		3л (суб-авт)	деревня	Великороссия		жен	Федюха	Васена
126	Мартынов, Александр Федорович		Рыбак	рассказ	Москвитянин		1853	No 14. Июль. Кн. 2. Отд. I. С. 57–68		1л	деревня	Великороссия	Слобода Кукарка, Вятская губерния	муж	Фока	Наташа
127	Писемский, Алексей Феофилактович		Леший	рассказ	Современник		1853	No 11. Отд. I. С. 7–52.	Очерки из крестьянского быта. СПб., 1856	1л	деревня	Великороссия		жен	Егор Парменыч	Марфуша
128	Потехин, Алексей Антипович		Крестьянка	роман	Москвитянин		1853	No 21. Отд. I. С. 3–66; No 22. Отд. I. С. 67–130	М., 1854	3л	имение	Великороссия	Тульская губерния	жен	Дмитрий Петрович	Аннушка
129	Григорович, Дмитрий Васильевич		Рыбаки	простонародная повесть; роман	Современник		1853	No 3. Отд. I. С. 5–92; No 4. Отд. I. С. 121–180; No 5. Отд. I. С. 1–67; No 6. Отд. I. С. 163–231; No 9. Отд. I. С. 49–139.		3л	деревня	Великороссия	Тульская губерния	муж	Глеб	нет
130	Потехин, Алексей Антипович		Тит Софронов Козонок	повесть из простонародного быта	Москвитянин		1853	No 9. Отд. I. С. 3–44; No 10. Отд. I. С. 59–114		3л	имение	Великороссия		муж	Тит	нет
131	Небольсин, Павел Иванович		Матреша		Небольсин. Рассказы проезжего.	Санкт-Петербург	1854			1л	город	Великороссия	Ардатов	жен	нет	Матреша
132	Тургенев, Иван Сергеевич		Муму	рассказ	Современник		1854	No 3. Отд. I. С. 9–36		3л	город	Великороссия	Москва	муж	Герасим	Татьяна
133	Максимов, Сергей Васильевич		Встреча	рассказ	Библиотека для чтения		1855	No 5. Отд. I. С. 187–212.		1л	деревня	Великороссия		муж	Петр	Матрена
134	Мей, Лев Александрович		Кирилыч		Библиотека для чтения		1855	No 5. Отд. I. С. 4–41.		1л	имение	Великороссия		муж	без имени	Софья
135	Михайлов, Михаил Ларионович		Африкан	рассказ	Современник		1855	No 7. Отд. I. С. 13–51		3л (суб-авт)	имение в городе	Великороссия		муж	Африкан	Пелагея
